file_name,requirement_id_1,text_1,requirement_id_2,text_2,similarity,signal
2006 - eirene sys 15.pdf,5c9aabb311_R0466,"Information on the outcome shall be provided to the mobile according to [EN 301 515, Index [17]] and [EN 301 515, Index [34]].",5c9aabb311_R0482,"Information on the outcome shall be provided to the mobile according to [EN 301 515, Index [17]] and [EN 301 515, Index",0.9862,number_mismatch
2004 - watcom.pdf,df8ded12c8_R0118,3.1.4 Notes The information presented in the sections above should not be treated as retelling of 386 ABI.,df8ded12c8_R0170,3.2.10 Notes The information presented in the sections above should not be treated as retelling of 386 ABI.,0.9855,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0675,3.11.2 Reliability The TCS reliability will be considered in every phase of the design and development process and shall achieve a system reliability (Mean Time Between Failures MTBF) equal to or greater than that which is specified in the Predator and Outrider ORDs.,cac3ac0306_R1176,SSS410 The TCS reliability will be considered in every phase of the design and development process and shall achieve a system reliability (Mean Time Between Failures MTBF) equal to or greater than that which is specified in the Predator and Outrider ORDs.,0.9846,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0676,3.11.3 Maintainability The TCS maintainability will be considered in every phase of the design and development process and shall achieve a system maintainability (Mean Time To Repair MTTR) equal to or greater than that which is specified in the Predator and Outrider ORDs.,cac3ac0306_R1175,SSS411 The TCS maintainability will be considered in every phase of the design and development process and shall achieve a system maintainability (Mean Time To Repair MTTR) equal to or greater than that which is specified in the Predator and Outrider ORDs.,0.9829,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0627,"3.8.2 Communications Security Links that provide communications between the TCS and other systems shall be secured in a manner appropriate for the sensitivities of the material passed through such links, in accordance with DoD",cac3ac0306_R0961,"SSS365 Links that provide communications between the TCS and other systems shall be secured in a manner appropriate for the sensitivities of the material passed through such links, in accordance with DoD",0.9825,number_mismatch
2001 - hats.pdf,502e30223d_R0435,"[SRSreq 154] When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, navigation in the SDT window shall result in navigation in the pretty-printed text window.",502e30223d_R0438,"[SRSreq 155] When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, navigation in the pretty-printed text window shall result in navigation in the SDT",0.9823,number_mismatch
0000 - cctns.pdf,acd39aad8f_R0133,"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",acd39aad8f_R0135,"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",0.9822,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0821,3.15.1.2 Air The TCS shall be air transportable by helicopter (CH-47/CH-53D) and C-130 drive-on/drive-off capable.,cac3ac0306_R1185,SSS522 The TCS shall be air transportable by helicopter (CH-47/CH-53D) and C-130 drive-on/drive-off capable.,0.9803,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0679,"3.11.4 Availability The TCS equipment shall achieve an availability (Ao), as defined below, equal to or greater than that which is specified in the Predator and Outrider ORDs.",cac3ac0306_R1174,"The TCS equipment shall achieve an availability (Ao), as defined below, equal to or greater than that which is specified in the Predator and Outrider ORDs.",0.9745,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0815,3.15.1 Transportability The TCS shall meet the deployment criteria for the organic unit to which it is assigned.,cac3ac0306_R1182,The TCS shall meet the deployment criteria for the organic unit to which it is assigned.,0.9735,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0815,3.15.1 Transportability The TCS shall meet the deployment criteria for the organic unit to which it is assigned.,cac3ac0306_R1183,SSS516 The TCS shall meet the deployment criteria for the organic unit to which it is assigned.,0.9735,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0366,The group identity of the voice group call (VBS or VGCS) shall be displayed.,3712be5ebe_R0448,7.2.2.16 The group identity of the voice group call (VBS or VGCS) shall be displayed.,0.9718,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0631,"3.8.4 Personnel Security All TCS users, operators, maintainers and other personnel having access to TCS shall be cleared to the highest sensitivity of the data that the TCS processes, stores and transfers.",cac3ac0306_R0965,"SSS369 All TCS users, operators, maintainers and other personnel having access to TCS shall be cleared to the highest sensitivity of the data that the TCS processes, stores or transfers.",0.9678,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0363,"Where available, the functional identity of the calling party shall be displayed.",3712be5ebe_R0445,"7.2.2.14 Where available, the functional identity of the calling party shall be displayed.",0.9662,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0647,3.10.1.3 Power The TCS shall use standard military worldwide 110/220 volt 50/60 hertz generators and commercial power sources.,cac3ac0306_R1189,The TCS shall use standard military worldwide 110/220 volt 50/60 hertz generators and commercial power sources.,0.965,number_mismatch
2004 - watcom.pdf,df8ded12c8_R0120,"During the porting work, developer should refer to ABI and other documentation;",df8ded12c8_R0193,"3.3.6 Notes During the porting work, developer should refer to ABI and other documentation;",0.9647,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0365,A short audible and visual indication of the incoming call shall be provided.,3712be5ebe_R0447,7.2.2.15 A short audible and visual indication of the incoming call shall be provided.,0.964,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0145,An audible and visual indication shall be provided to the driver that the call is proceeding.,3712be5ebe_R0154,5.2.2.12 An audible and visual indication shall be provided to the driver that the call is proceeding.,0.9628,number_mismatch
2003 - pnnl.pdf,69f4f47b18_R0274,3.5.1.9 The menu item named “Start Diagnostics” in the main menu entitled “Status” shall be enabled only if diagnostic processing is not currently running.,69f4f47b18_R0276,3.5.1.10 The menu item named “Stop Diagnostics” in the main menu entitled “Status” shall be enabled only if diagnostic processing is currently running.,0.9628,number_mismatch
2005 - microcare.pdf,220065c6fd_R0143,Voucher No (This should be captured from Bar Code reader based on the Voucher Slip Stick on the Claim Form),220065c6fd_R0144,Visit Count (This should be captured from Bar Code reader based on the Voucher Slip Stick on the Claim Form),0.9575,negation_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0201,5.2.2.48 The group identity of the voice group call (VBS or VGCS) shall be displayed.,3712be5ebe_R0366,The group identity of the voice group call (VBS or VGCS) shall be displayed.,0.9575,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0367,"If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call.",3712be5ebe_R0449,"7.2.2.17 If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call.",0.9573,number_mismatch
2004 - rlcs.pdf,d9e6063902_R0296,"3.5.2 Security The RLCS shall incorporate a database to store, process, and retrieve all data necessary to secure the system from unauthorized use.",d9e6063902_R0298,"3.5.2.1 The RLCS shall incorporate a database to store, process, and retrieve all data necessary to secure the system from unauthorized use.",0.9548,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0376,6.2.2.16 The radio shall provide a means for the user to terminate calls which he is authorised to terminate (ie all calls except broadcast or group calls not initiated by the user).,3712be5ebe_R0458,7.2.2.24 The radio shall provide a means for the user to terminate calls which he is authorised to terminate (ie all calls except broadcast or group calls not initiated by the user).,0.954,number_mismatch
2001 - npac.doc,710fbbd28b_R1067,NPAC SMS shall if the old and new service provider business hours and days match set the subscription version business type to the business type for the business hours and days supported.,710fbbd28b_R1068,NPAC SMS shall if the old and new service provider business hours and days do not match set the subscription version business type to the shorter business hours and days.,0.9502,negation_mismatch
1999 - tcs.pdf,cac3ac0306_R0581,3.4.2.1 Distributed Processing Remotely hosted applications shall communicate in a client server relationship via the defined data server interface.,cac3ac0306_R0870,SSS329 Remotely hosted applications shall communicate in a client server relationship via the defined data server interface.,0.95,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0596,3.4.7 Data Storage Devices The TCS shall be able to access data storage devices.,cac3ac0306_R1121,SSS339 The TCS shall be able to access data storage devices.,0.9496,number_mismatch
2005 - triangle.pdf,4c4c0aa095_R0058,3.4.3 Functional Requirements Game.TwoPlayerSupport The system shall support two player turn-based gaming.,4c4c0aa095_R0067,Game.TwoPlayerSupport The system shall support two player turn-based gaming.,0.9463,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0721,3.12.4 Software Newly designed software shall be developed in accordance with a tailored MIL-STD-498.,cac3ac0306_R0887,SSS437 Newly designed software shall be developed in accordance with a tailored MIL-STD-498.,0.9459,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0394,6.2.3.9i It shall be possible for a user to override the automatic network selection manually.,3712be5ebe_R0481,It shall be possible for a user to override the automatic network selection manually.,0.9448,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0623,"Therefore, as per DoD Regulation 5000.2-R, dated March 15, 1996, the TCS shall meet security requirements in accordance with DoD Directive 5200.28(D),",cac3ac0306_R0956,"As such, as per DoD Regulation 5000.2-R, dated March 15, 1996, the TCS shall meet security requirements in accordance with DoD Directive",0.9442,number_mismatch
2003 - pnnl.pdf,69f4f47b18_R0300,"3.5.1.20 The diagnostic information window shall have a button labeled “Print” that when clicked will display a window listing items to print including the diagnostic information window, the history window, and both the diagnostic and history windows.",69f4f47b18_R0311,"3.5.1.30 The diagnostic history window shall have a button labeled “Print” that when clicked will display a window listing items to print including the diagnostic information window, the history window, and both the diagnostic and history windows.",0.9422,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0462,"3.2.10 Fault Detection/Location Function Fault Detection/Location (FD/L) to the Line Replaceable Unit (LRU) level shall be provided to indicate the readiness status of TCS, if inherent to the COTS hardware and software utilized.",cac3ac0306_R1224,"SSS249 Fault Detection/Location (FD/L) to the Line Replaceable Unit (LRU) level shall be provided to indicate the readiness status of TCS, if inherent to the COTS hardware and software utilized..",0.9419,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0582,3.4.3 SAR Processor The TCS shall provide an internal interface for the SAR Processor in order to disseminate SAR,cac3ac0306_R1096,The TCS shall provide an internal interface for the SAR Processor in order to disseminate SAR,0.9406,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0172,"The Clarus system shall acquire, process, and disseminate environmental metadata.",cec50ac98a_R0328,"H-120 The Clarus system shall acquire, process, and disseminate environmental metadata.",0.9406,number_mismatch
2005 - microcare.pdf,220065c6fd_R0143,Voucher No (This should be captured from Bar Code reader based on the Voucher Slip Stick on the Claim Form),220065c6fd_R0145,Patient Type (This should be captured from Bar Code reader based on the Voucher Slip Stick on the Claim Form),0.9401,negation_mismatch
2009 - peppol.pdf,b0ec2accd9_R0394,The identity and access management procedures for creating a VCD account SHOULD be harmonized with the registration procedure of the overall infrastructure provided by WP8.,b0ec2accd9_R1003,Requirement The identity and access management procedures for creating a VCD account SHOULD be harmonized with the registration procedure of the overall infrastructure provided by WP 8.,0.94,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0670,"3.10.4 Computer Communication Requirements The DII/COE UCP/CMP shall provide a consistent and common set of interfaces for United States Message Text Format (USMTF), Army Tactical Command Control System (ATCSS), and Field Artillery Tactical Data Systems (FATDS) message sets.",cac3ac0306_R1150,"SSS406 The DII/COE UCP/CMP shall provide a consistent and common set of interfaces for United States Military Transmission Format (USMTF), Army Tactical Command Control System (ATCSS), and Field Artillery Tactical Data Systems (FATDS) message sets.",0.9397,number_mismatch
2003 - pnnl.pdf,69f4f47b18_R0319,This indicator shall be designated the “OK” indicator and shall appear green when active.,69f4f47b18_R0323,This indicator shall be designated the “Not OK” indicator and shall appear red when active.,0.9337,negation_mismatch
2003 - agentmom.pdf,e5e7157c09_R0060,3.2.2.2 *agentMom shall support the ability to receive multicast message.,e5e7157c09_R0067,3.2.2.9 agentMom shall support the ability to receive multicast message from multiple groups.,0.9332,number_mismatch
2005 - phin.pdf,266176c3ef_R0060,"2.2.1.3 Systems supporting OM must have the capability to capture data about locations involved in an OM investigation, including:",266176c3ef_R0067,"2.2.1.6 Systems supporting OM must have the capability to capture data about any conveyance involved in an OM investigation, including:",0.9327,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0373,"6.2.2.14 If the user moves out of the group or broadcast call area whilst the call is in progress, an audible and visual indication of the loss of call shall be provided to the user.",3712be5ebe_R0455,"7.2.2.22 If the user moves out of the group or broadcast call area whilst the call is in progress, an audible and visual indication of the loss of call shall be provided to the user.",0.9325,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0355,"When the data link is interrupted, the TCS shall present the last known AV status values and the time at which the last values were reported.",cac3ac0306_R1051,"SSS144 While the data link is not operational, the TCS shall present the last known AV status values and the time at which the last values were reported.",0.9315,negation_mismatch
2005 - clarus low.pdf,cec50ac98a_R0348,H-011 The Clarus system baseline data types shall be defined by the NTCIP ESS 1204,cec50ac98a_R0391,The Clarus system baseline data types shall be defined by the NTCIP ESS 1204,0.9311,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0201,5.2.2.48 The group identity of the voice group call (VBS or VGCS) shall be displayed.,3712be5ebe_R0448,7.2.2.16 The group identity of the voice group call (VBS or VGCS) shall be displayed.,0.9305,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0645,"3.10.1.2 Mass Storage To meet growth requirements, the TCS shall be capable of adding additional storage without major hardware reconfiguration.",cac3ac0306_R1266,"To meet growth requirements, the TCS shall be capable of adding additional storage without major hardware reconfiguration.",0.9302,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0682,"The I/O channel reserve capability for each processor shall have at least a 50% reserve, addressable and useable, I/O channel capacity over any 10 second period.",cac3ac0306_R1271,"SSS416 The I/O channel reserve capability for each processor shall have at least a 50% reserve, addressable and useable, I/O channel capacity.",0.9302,number_mismatch
1998 - themas.pdf,63762168d3_R0157,3.1.1.1.1 Introduction The THEMAS system shall control t he heating and cooling units that are defined as part of the THEMAS system.,63762168d3_R0239,3.1.5.1.1 Introduction The THEMAS system shall control each of the heating and cooling units that are defined for the system.,0.93,number_mismatch
2001 - npac.doc,710fbbd28b_R1043,NPAC SMS shall require the following data from NPAC personnel or the new Service Provider upon Subscription Version creation for an Inter-Service Provider port when NOT “porting to original”:,710fbbd28b_R1047,NPAC SMS shall require the following data from NPAC personnel or the new Service Provider upon Subscription Version creation for an Inter-Service Provider “porting to original” port:,0.9299,negation_mismatch
2005 - pontis.pdf,cc9a62205d_R0122,"1.3 The user shall be able to select structures by structure ID, district, county, administrative area (geographic group), ownership, custodianship, functional class, NHS",cc9a62205d_R0126,"The user shall be able to select structures by structure ID, district, county, administrative area (geographic group), ownership, custodianship, functional class, NHS status, on/off system, inspector, bridge group, inspection due dates, and all or some environment and elements.",0.9257,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0644,3.10.1.1 Performance The TCS shall have sufficient throughput to support the processing requirements of the selected data link.,cac3ac0306_R1138,SSS382 The TCS shall have sufficient throughput to support the processing requirements the selected data link.,0.9256,number_mismatch
2007 - e-store.doc,f9bd9c1124_R0077,1 The system shall display detailed information of the selected products.,f9bd9c1124_R0095,The system shall display the detailed information about the selected order.,0.9252,number_mismatch
2004 - rlcs.pdf,d9e6063902_R0223,"3.2.4.5.1 At each time, one or more of the above item types, listed under ‘Control Unit Non-Volatile Memory’, is created or modified, a UTC date/time stamp shall will be updated.",d9e6063902_R0439,"At each time, one or more of the above item types, listed under ‘Control Unit Non-Volatile Memory’, is created or modified, a UTC date/time stamp shall will be appended to the code (or table).",0.9247,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0271,"The Clarus system shall be able to acquire, process, and disseminate environmental data from across North America.",cec50ac98a_R0491,"H-301 The Clarus system shall be able to acquire, process, and disseminate environmental data from across North America.",0.9234,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0371,"6.2.2.13 In a group call, an audible and visual indication of whether the request was successful shall be provided.",3712be5ebe_R0453,"7.2.2.21 In a group call, an audible and visual indication of whether the request was successful shall be provided.",0.9229,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0142,The Clarus system shall record the methods applied when deriving quality checking information.,cec50ac98a_R0462,F-151 The Clarus system shall record the methods applied when deriving quality checking information.,0.9226,number_mismatch
2003 - agentmom.pdf,e5e7157c09_R0063,3.2.2.5 agentMom shall not allow receiving multicast message from a group before joining that multicast group.,e5e7157c09_R0064,3.2.2.6 agentMom shall not allow receiving multicast message from a group after leaving that multicast group.,0.9224,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0824,"3.15.1.5 Preparation Time The TCS shall be configurable for sea, ground, as well as air transport in 2 hours or less.",cac3ac0306_R1186,"SSS525 The TCS shall be configurable for sea, ground, or air transport in 2 hours or less.",0.9219,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0227,The Clarus system shall allow access to new surface transportation-related observed environmental data.,cec50ac98a_R0483,F-213 The Clarus system shall allow access to new surface transportation related observed environmental data.,0.9213,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0369,"6.2.2.11 In a group call, a visual indication shall be provided to remind the user of the need to use the PTT function.",3712be5ebe_R0451,"7.2.2.19 In a group call, a visual indication shall be provided to remind the user of the need to use the PTT function.",0.9198,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0599,3.4.7.2 Tape Drive The TCS shall provide a tape drive for storage and retrieval of TCS data.,cac3ac0306_R0939,SSS342 The TCS shall provide a tape drive for storage and retrieval of TCS data.,0.9168,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0605,3.7 Safety Requirements The TCS design shall consider all safety requirements affecting design and performance except nuclear safety.,cac3ac0306_R1254,SSS345 The TCS design solution shall consider all safety requirements affecting design and performance except nuclear safety.,0.9167,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0572,3.4.1 AV Standard Interface The TCS shall implement an AV Standard Interface that will provide the proper data format to ensure communications with the selected AV.,cac3ac0306_R0950,SSS322 The TCS shall implement an AV Standard Interface that will provide the proper data format to ensure communications with the selected AV.,0.9147,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0195,5.2.2.43 An audible and visual indication of an incoming call shall be provided.,3712be5ebe_R0362,An audible and visual indication of an incoming call shall be provided.,0.9145,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0607,"3.7.1 Air Vehicle Safety The TCS shall provide sufficient cues to allow the operator to safely take-off, land and navigate under Instrument Flight Rules.",cac3ac0306_R1042,"SSS347 The TCS shall provide sufficient cues to allow the operator to safely take-off, land and navigate under Instrument Flight Rules.",0.9142,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0598,3.4.7.1 CD Drive The TCS shall provide a CD drive for the retrieval of TCS data.,cac3ac0306_R0970,SSS341 The TCS shall provide a CD drive for the retrieval of TCS data.,0.9133,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0160,"5.2.2.17 If the system is not able to connect the call, an audible and visual indication shall be provided to the driver.",3712be5ebe_R0171,"5.2.2.25 If the system is not able to connect the call, an audible and visual indication shall be provided to the driver.",0.9123,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0822,3.15.1.3 Sea The TCS shall be sea transportable.,cac3ac0306_R1184,SSS523 The TCS shall be sea transportable.,0.9122,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0823,3.15.1.4 Rail The TCS shall be rail transportable.,cac3ac0306_R1302,SSS524 The TCS shall be rail transportable.,0.9119,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0635,3.9 System Environment Requirements The TCS shall be capable of operation within environments specified in the System/Subsystem Design Document for the land-based shelter and shipboard environments.,cac3ac0306_R1206,The TCS shall be capable of operation within environments specified for the land-based shelter and shipboard environments.,0.9115,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0602,3.4.8 Uninterruptible Power The TCS shall have an interface to an uninterruptible power supply.,cac3ac0306_R1198,The TCS shall have an interface to an uninterruptible power supply.,0.9107,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0820,3.15.1.1 Ground The TCS shall be ground transportable.,cac3ac0306_R1300,SSS521 The TCS shall be ground transportable.,0.9105,number_mismatch
2003 - agentmom.pdf,e5e7157c09_R0061,3.2.2.3 *agentMom shall support the ability to send request to join multicast group.,e5e7157c09_R0062,3.2.2.4 *agentMom shall support the ability to send request to leave multicast group.,0.9088,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0593,3.4.6 Printer The TCS shall have ports for outputting data and imagery to an internal hard copy printer.,cac3ac0306_R1113,SSS337 The TCS shall have ports for outputting data and imagery to a hard copy printer.,0.9082,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0147,The Clarus system shall be able to implement quality checking rules for specific environmental situations.,cec50ac98a_R0466,F-161 The Clarus system shall be able to implement quality checking rules for specific environmental situations.,0.9078,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0375,6.2.2.15 Reception of this call (if implemented) shall proceed as for a standard group or broadcast call except that a distinctive audible and visual indication shall be provided.,3712be5ebe_R0457,7.2.2.23 Reception of this call shall proceed as for a standard group or broadcast call except that a distinctive audible and visual indication shall be provided.,0.906,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0666,"3.10.3.1 Display The TCS software shall provide a high resolution, computer generated, graphical user interface that enables the UAV operator that is trained on one system to control different types of UAVs as well as UAV",cac3ac0306_R0849,"enables the UAV operator that is trained on one system to control different types of UAVs or UAV The TCS software shall provide a high resolution, computer generated, graphical user interface that payloads with minimal additional training.",0.9043,number_mismatch
2007 - nde.pdf,7e9463c544_R0282,"During the NPP mission, the System shall be capable of supporting product volumes of 4 Terrabytes per day of input and 8 Terabytes per day of output.",7e9463c544_R0284,"During the NPOESS-C1 mission, the System shall be capable of supporting product volumes of 8 Terabytes per day of input and 16 Terrabytes per day of output.",0.8992,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0149,"If the system is not able to connect the call, an audible and visual indication shall be provided to the driver that the call was not received by the controller.",3712be5ebe_R0171,"5.2.2.25 If the system is not able to connect the call, an audible and visual indication shall be provided to the driver.",0.8988,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0144,The Clarus system shall be able to implement quality checking rules for each environmental parameter.,cec50ac98a_R0464,F-155 The Clarus system shall be able to implement quality checking rules for each environmental parameter.,0.898,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0149,"If the system is not able to connect the call, an audible and visual indication shall be provided to the driver that the call was not received by the controller.",3712be5ebe_R0160,"5.2.2.17 If the system is not able to connect the call, an audible and visual indication shall be provided to the driver.",0.8974,number_mismatch
2001 - hats.pdf,502e30223d_R0445,[SRSreq 160] The complexity of the text search algorithm shall not exceed O(n2) for n nodes.,502e30223d_R0446,[SRSreq 161] The complexity of the tree search algorithm shall not exceed O(n2) for n nodes.,0.8969,number_mismatch
2008 - virtual ed.doc,0dd4cc7d02_R0063,▪ REQ-3 - Users must have pop-up windows enabled on their systems,0dd4cc7d02_R0292,o The users must have pop-up windows enabled on their systems and,0.8949,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0598,11.3.2.3 It shall be possible to register up to ten functional numbers to items of equipment physically connected to the Cab radio within 30 seconds.,3712be5ebe_R0606,11.3.3.3 It shall be possible to deregister up to ten functional numbers to items of equipment physically connected to the Cab radio within 30 seconds.,0.894,number_mismatch
2005 - clarus low.pdf,cec50ac98a_R0156,The Clarus system shall be able to use multiple algorithms for its quality checking process.,cec50ac98a_R0481,F-175 The Clarus system shall be able to use multiple algorithms for its quality checking process.,0.8934,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0620,"3.7.3 System Safety And Health Hazard Assets System safety and health hazards, if any, shall be identified and evaluated during Phase I of the TCS",cac3ac0306_R1251,"TCS system safety and health hazards, if any, shall be identified and evaluated.",0.8931,number_mismatch
2007 - nde.pdf,7e9463c544_R0254,3.9.6 Monitor Input Quality The System shall implement operational quality monitoring procedures that will detect and report to operators and management the acceptability of xDR metadata according to configurable thresholds.,7e9463c544_R0255,3.9.7 Monitor Output Quality The System shall implement operational quality monitoring procedures that will detect and report to operators and management the acceptability of output product metadata according to configurable,0.8911,number_mismatch
2005 - phin.pdf,266176c3ef_R0060,"2.2.1.3 Systems supporting OM must have the capability to capture data about locations involved in an OM investigation, including:",266176c3ef_R0062,"2.2.1.4 Systems supporting OM must have the capability to capture data about any animals involved in an OM investigation, including:",0.8909,number_mismatch
1999 - tcs.pdf,cac3ac0306_R0620,"3.7.3 System Safety And Health Hazard Assets System safety and health hazards, if any, shall be identified and evaluated during Phase I of the TCS",cac3ac0306_R1252,"SSS359 System safety and health hazards, if any, shall be identified and evaluated.",0.888,number_mismatch
2007 - eirene fun 7.pdf,3712be5ebe_R0596,11.3.2.2 The functional number registration facility shall be supported by all EIRENE user equipment.,3712be5ebe_R0605,11.3.3.2 The functional number deregistration facility shall be supported by all EIRENE user equipment.,0.8865,number_mismatch
