document_id,file_name,requirement_id,requirement_text,word_count,extraction_confidence,has_modal,has_number,testable_signal,vague_terms_found,incomplete_signals,subjective_terms_found,seed_label,seed_primary_label,human_label,human_primary_label,review_notes,llm_prediction,llm_rationale,llm_source_span,llm_rewrite,llm_confidence,accepted_by_human,alpha_ratio,bad_artifact
0755ccba83,2001 - telescope.pdf,0755ccba83_R0110,should easily be able to meet its allocated science telemetry rate.,11,high,True,False,False,easily,,easily,ambiguity; non_testability,ambiguity,,,,,,,,,,0.835820895522388,False
266176c3ef,2005 - phin.pdf,266176c3ef_R0176,2.5.10 Systems supporting OM must be able to create and send messages for countermeasure administration requests.,18,high,True,True,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.8053097345132744,False
74a1aafc90,2007 - ertms.pdf,74a1aafc90_R0106,The ETCS trainborne equipment shall be capable of being isolated.,10,high,True,False,False,etc,etc,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.8461538461538461,False
bc8c78f934,2010 - mashboot.pdf,bc8c78f934_R0160,A member should be able to see the content they have published in all supported services,16,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8295454545454546,False
b3fdf25c0f,2000 - nasa x38.doc,b3fdf25c0f_R0092,The FCP shall [SRS296] configure ICP simplex virtual groups for each,11,high,True,False,True,simple,,,ambiguity,ambiguity,,,,,,,,,,0.7794117647058824,False
0dd4cc7d02,2008 - virtual ed.doc,0dd4cc7d02_R0086,"The user will be able to select/change their password, update information about themselves (phone number, address).",17,medium,False,False,False,about,,,ambiguity,ambiguity,,,,,,,,,,0.8173913043478261,False
f9bd9c1124,2007 - e-store.doc,f9bd9c1124_R0184,The product must be stored in such a way that allows the client easy access to it.,17,high,True,False,False,easy,,easy; low,ambiguity; non_testability,ambiguity,,,,,,,,,,0.7926829268292683,False
3a111cfea5,2005 - clarus high.doc,3a111cfea5_R0200,|F-175|The Clarus system shall be able to |Inferred |Multiple methods or comparisons |M |,15,high,True,True,True,multiple,,,ambiguity,ambiguity,,,,,,,,,,0.7415730337078652,False
deb4b8a723,2007 - mdot.pdf,deb4b8a723_R0237,"The asset condition information browser shall allow a user to query asset condition-related information using a web browser capable of supporting HTML 4.01,",25,high,True,True,True,support,,low,ambiguity,ambiguity,,,,,,,,,,0.8205128205128205,False
74e58203c4,2011 - opensg 0.1.doc,74e58203c4_R0036,"In this manner, the System Requirements Specification shall address securing the data artifacts and the processes supporting the creation, retrieval, updating, and deletion of information objects.",26,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8469387755102041,False
d5a72dc87e,2002 - sce api.pdf,d5a72dc87e_R0127,"However, passing messages by reference is more efficient but care must be taken in their use.",16,high,True,False,False,efficient,,efficient,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8172043010752689,False
d2fbe92214,2009 - inventory 2.0.pdf,d2fbe92214_R0308,Hardware Interfaces The system should support the following hardware interfaces:,10,high,True,False,False,support,trailing_colon,low,ambiguity; incompleteness; non_testability,ambiguity,,,,,,,,,,0.875,False
a038f2404d,2004 - grid bgc.pdf,a038f2404d_R0141,The system shall support the following projection types,8,high,True,False,False,support,,low,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8727272727272727,False
2f144c663b,2006 - stewards.pdf,2f144c663b_R0056,"2.4 Operating Environment The rule for selecting hardware and software is that the components/application must be functionally efficient, capable of interfacing with other software, and easy to maintain.",30,high,True,True,True,easy; efficient,,easy; efficient,ambiguity,ambiguity,,,,,,,,,,0.8325123152709359,False
5404d8a4d4,2001 - libra.doc,5404d8a4d4_R0052,"Should be scalable, which means that its performance should not",10,high,True,False,False,scalable,,,ambiguity,ambiguity,,,,,,,,,,0.8412698412698413,False
e63551dcc3,2009 - video search.pdf,e63551dcc3_R0013,The software will be used to search multiple web sites for streaming videos and torrents and return these results to the user.,22,medium,False,False,False,multiple,,,ambiguity,ambiguity,,,,,,,,,,0.8253968253968254,False
63762168d3,1998 - themas.pdf,63762168d3_R0137,The system should provide information in the form of reports to the supervisor so that the system can be run efficiently.,21,high,True,False,False,efficient; efficiently,,efficient; efficiently,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8264462809917356,False
9889de5526,2002 - evla back.pdf,9889de5526_R0221,"Processes – all software processes shall be killable, restartable, debuggable and testable without affecting normal operations.",15,high,True,False,False,normal,,,ambiguity,ambiguity,,,,,,,,,,0.8503937007874016,False
7f161d6979,2005 - znix.pdf,7f161d6979_R0038,2.3 User Characteristics The browser GUI SHOULD be designed such that even casual users could easily manipulate their information with little or no training.,25,high,True,True,True,easily,,easily,ambiguity,ambiguity,,,,,,,,,,0.8280254777070064,False
0f0183a401,2001 - beyond.pdf,0f0183a401_R0128,"Thus, not only the hardware should support these peripherals, but also the UI-Editor should contain the possibility to define protocols, identify several types of communication ports, …",27,high,True,False,False,several; support,,,ambiguity,ambiguity,,,,,,,,,,0.827027027027027,False
cd311b5e67,2009 - email.pdf,cd311b5e67_R0007,The service shall be designed to meet the needs of all executive branch agencies and reduce the current cost of operation and support.,23,high,True,False,False,support,,,ambiguity,ambiguity,,,,,,,,,,0.8283582089552238,False
cac3ac0306,1999 - tcs.pdf,cac3ac0306_R0259,"Shutdown of the TCS shall include storage as well as deletion, as specified by the operator, of mission data files [SSS044], shutdown of appropriate functions [SSS045], shutdown of HCIs [SSS046], and proper termination of all active interfaces [SSS047].",38,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.7509881422924901,False
cc9a62205d,2005 - pontis.pdf,cc9a62205d_R0353,The system developer shall consider supporting existing custom forms and reports developed in PowerBuilder 9.,15,high,True,True,True,support,,,ambiguity,ambiguity,,,,,,,,,,0.8532110091743119,False
2dff23407b,2010 - blit draft.pdf,2dff23407b_R0064,The project Team must allow a reasonable time to conduct User Acceptance Testing (UAT),14,high,True,False,False,reasonable,,low; reasonable,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8255813953488372,False
a81b83cb0d,2008 - peering.pdf,a81b83cb0d_R0035,"Therefore, request-redirections must occur over distributed sets of Web servers belonging to multiple CDN providers, without the benefit of the full information available, as in the single provider case.",30,high,True,False,False,multiple,,,ambiguity,ambiguity,,,,,,,,,,0.8374384236453202,False
77c0a3eb3e,2010 - split merge.pdf,77c0a3eb3e_R0167,In case of error it should provide users with appropriate help messages.,12,high,True,False,False,appropriate,,,ambiguity,ambiguity,,,,,,,,,,0.8333333333333334,False
71de4b6315,2001 - space fractions.pdf,71de4b6315_R0048,This information must be saved in a file on the web server where the game is hosted and will be easily edited through simplified administrative screens.,26,high,True,False,False,easily,,easily,ambiguity; non_testability,ambiguity,,,,,,,,,,0.8289473684210527,False
cf286cdcad,2004 - sprat.pdf,cf286cdcad_R0076,"The system will generate a list of all goals that have the same source, actor, subject etc.",17,medium,False,False,False,etc,etc,,ambiguity; incompleteness,ambiguity,,,,,,,,,,0.7912087912087912,False
96da2d3305,2007 - central trading system.pdf,96da2d3305_R0044,"After a new instruction come, we must get key information from instruction and solve some simple problems by necessary constraints and some key rules",24,high,True,False,True,simple,,,ambiguity,ambiguity,,,,,,,,,,0.8389261744966443,False
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0027,The System must allow the user to limit access to cases to specified users or user groups.,17,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8111111111111111,False
3af482f591,1999 - multi-mahjong.html,3af482f591_R0084,"The MultiMahjongClient must only allow players to make moves according to the Chinese rules of Mahjong as described in the rulebook, """,21,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8283582089552238,False
137ef3122c,2005 - nenios.html,137ef3122c_R0041,The administrators shall be allowed to enter or,8,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.851063829787234,False
710fbbd28b,2001 - npac.doc,710fbbd28b_R0972,"NPAC SMS shall allow removal of a Service Provider by NPAC personnel only if all associated NPA-NXXs are removed, and no Subscription Versions are associated with the NPA-NXX.",30,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8228571428571428,False
5c9aabb311,2006 - eirene sys 15.pdf,5c9aabb311_R0285,A standard data interface shall be provided to allow a computer to be connected to the radio.,17,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8172043010752689,False
bc8c78f934,2010 - mashboot.pdf,bc8c78f934_R0154,A campaign should have workflow approval process,7,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.875,False
cec50ac98a,2005 - clarus low.pdf,cec50ac98a_R0190,Changed from “The Clarus system shall allow human intervention to override automatically applied quality assessment.”,15,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8547008547008547,False
266176c3ef,2005 - phin.pdf,266176c3ef_R0024,The application should also allow for new objects to be defined and created during the course of an investigation.,19,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8333333333333334,False
cd311b5e67,2009 - email.pdf,cd311b5e67_R0012,"The analysis shall include an internally hosted system option, an externally sourced system option, and, if necessary, a combined inhouse and externally sourced option.",24,high,True,False,False,,,if necessary,non_testability,non_testability,,,,,,,,,,0.8333333333333334,False
5404d8a4d4,2001 - libra.doc,5404d8a4d4_R0053,"Should be configurable, and allow for various scheduling policies",9,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8615384615384616,False
d2fbe92214,2009 - inventory 2.0.pdf,d2fbe92214_R0074,Manage Inventory Items The system should allow various management actions to be performed on items existing in the inventory.,19,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.848,False
07adf7522c,1995 - gemini.pdf,07adf7522c_R0383,"As a conclusion, the Gemini 8m Telescopes control software shall allow simultaneous operation of up to six active control nodes and up to two more monitoring nodes (one local and one remote) without appreciable degradation of performance.",37,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8277310924369747,False
925171e62a,2008 - viper.doc,925171e62a_R0429,The system shall follow the Waterfall software process model.,9,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8524590163934426,False
3a111cfea5,2005 - clarus high.doc,3a111cfea5_R0155,|requirements from |formulated with “… shall…” |could be a |explain the |L = Low |,12,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.6951219512195121,False
0f0183a401,2001 - beyond.pdf,0f0183a401_R0035,The information flow must be compatible with average user capabilities to avoid cognitive overload.,14,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8585858585858586,False
e5e7157c09,2003 - agentmom.pdf,e5e7157c09_R0037,This agent should maintain a list of agents who are allowed to get the keys.,15,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8026315789473685,False
cac3ac0306,1999 - tcs.pdf,cac3ac0306_R0239,Levels of interaction higher than those achievable by a particular TCS configuration shall be prohibited.,15,high,True,False,False,,,high,non_testability,non_testability,,,,,,,,,,0.8571428571428571,False
63762168d3,1998 - themas.pdf,63762168d3_R0334,Output From Transforms Determine Temperature Status Monitor Temperature Temperature Trigger Exceeded Allowed Meanings String Notes Denotes the condition when the reported temperature has exceeded the triggering value indi cating a heating or cooling unit should be requested.,37,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8654545454545455,False
0af6fa42c1,2007 - nlm.doc,0af6fa42c1_R0228,"(e.g., tape block sizes, CD-ROM volume information) have been included as part of the Content Information, a way must be found to preserve this information when migrating to higher capacity media with different storage architectures.",37,high,True,False,False,,,high,non_testability,non_testability,,,,,,,,,,0.8154506437768241,False
8dff9ec7f1,2003 - tachonet.pdf,8dff9ec7f1_R0021,The system must track the workflow between senders and related replies.,11,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8450704225352113,False
3712be5ebe,2007 - eirene fun 7.pdf,3712be5ebe_R0039,Such point-to-point calls shall allow both parties to talk simultaneously.,12,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8378378378378378,False
54e08b6406,2009 - library.doc,54e08b6406_R0026,"Flowcharts generally indicate the current approach to Management Processes in PINES, and should be considered to give contextual information rather than to prescribe or constrain new software development.",28,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8578431372549019,False
74a1aafc90,2007 - ertms.pdf,74a1aafc90_R0140,"When changing to a lower speed level, the front end of the train shall respect the dynamic train speed profile.",20,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8108108108108109,False
2e157a65bc,2010 - fishing.pdf,2e157a65bc_R0102,Product MUST provide a means to allow deletions to be identifiable via the ELSS user interface,16,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8404255319148937,False
705a122293,2002 - evla corr.pdf,705a122293_R0118,"This should allow the correlator CMIBs to boot, configure, and run without any communication outside of the correlator M&C network.",21,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8244274809160306,False
63478ef7e0,2001 - ctc network.pdf,63478ef7e0_R0104,The GUI shall allow a user to delete a previously entered lane closure.,13,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8169014084507042,False
d5a72dc87e,2002 - sce api.pdf,d5a72dc87e_R0156,"If this is the case, the ReceiveReady input must be permanently asserted (i.e., “tied high”) and, on the software side, no input ready callback is registered.",27,high,True,False,False,,,high,non_testability,non_testability,,,,,,,,,,0.7721518987341772,False
50c620f074,2004 - watcom gui.pdf,50c620f074_R0181,"Since the function doesn't allow specifying which input device should be tested, it isn't clear.Shift key on which input device should be checked.",26,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.815068493150685,False
7f161d6979,2005 - znix.pdf,7f161d6979_R0094,MUST also be capable of allowing the user to specify relationships between disparate Entities as he see fit.,18,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8333333333333334,False
4de4e97a64,2010 - home 1.3.pdf,4de4e97a64_R0090,"If a humdistat device allows a user to make a manual temperature setting, the setting shall remain in effect until the",21,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8220338983050848,False
2dff23407b,2010 - blit draft.pdf,2dff23407b_R0097,The system shall follow HIPAA compliance capabilities in new functionality introduced to the system.,14,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.86,False
df8ded12c8,2004 - watcom.pdf,df8ded12c8_R0161,"Such GOT entry should contain the address of the following pushl instruction, not the real address of e.g.",19,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8113207547169812,False
502e30223d,2001 - hats.pdf,502e30223d_R0395,The user shall enter a search pattern (see Appendix E and the following requirement).,14,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8117647058823529,False
cc9a62205d,2005 - pontis.pdf,cc9a62205d_R0252,The system shall allow users to configure data validation rules.,10,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.84375,False
aa7a342a3e,2009 - peazip.pdf,aa7a342a3e_R0081,"Description and Priority PeaZip allows users to encrypt (“lock”) archives during creation or updating, by using password which is demanded by PeaZip (or other applications of the same use) and should be inserted, in case some user wants to gain access to an encrypted",44,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8089887640449438,False
58c3b15e9f,2009 - library.pdf,58c3b15e9f_R0078,"Client software installation and updates must be centrally managed, using standard or proprietary network management tools, allowing streaming updates from server.",21,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8588957055214724,False
220065c6fd,2005 - microcare.pdf,220065c6fd_R0164,The Client Feed back form should capture the following details o Voucher No o Client Details o Details of syndromes treated o Lab Test o Drugs Details o Success of Treatment o Referral To Treatment o Satisfaction of Treatment (Not at all / Moderate / Good / Completely),45,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8066914498141264,False
348c2b1f7d,2007 - puget sound.pdf,348c2b1f7d_R0072,Actors in the role of professor or system administrator should be allowed to partition this space for actors in the roles of students.,23,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8283582089552238,False
940102af70,0000 - gamma j.pdf,940102af70_R0123,The interface must remain consistent among various web browsers and be intuitive to the customer.,15,high,True,False,False,,,intuitive,non_testability,non_testability,,,,,,,,,,0.845360824742268,False
a038f2404d,2004 - grid bgc.pdf,a038f2404d_R0352,The system shall allow the user to create new blank projects,11,high,True,False,False,,,low,non_testability,non_testability,,,,,,,,,,0.8333333333333334,False
acd39aad8f,0000 - cctns.pdf,acd39aad8f_R0040,"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.",36,high,True,False,False,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8203883495145631,False
5c4a6d88e4,1999 - dii.htm,5c4a6d88e4_R0015,Portion of XS services shall be used by various classes of users:,12,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8153846153846154,False
2f144c663b,2006 - stewards.pdf,2f144c663b_R0238,The system design process can be divided into three main phases:,11,medium,False,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.828125,False
502e30223d,2001 - hats.pdf,502e30223d_R0308,The HATS-GUI shall check that the parser file is younger than the grammar and lexical specification files and that the parser file was generated from the grammar and lexical specification files.,32,high,True,False,False,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8350515463917526,False
47371569e7,2008 - keepass.pdf,47371569e7_R0087,2.4 Operating Environment KeePass should run on Operating Systems:,10,high,True,True,True,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8181818181818182,False
aa7a342a3e,2009 - peazip.pdf,aa7a342a3e_R0024,2.5 Design and Implementation Constraints Should anyone wish to work on further development of PeaZip knowledge in any of the following programming languages is required:,26,high,True,True,True,,trailing_colon,low,incompleteness,incompleteness,,,,,,,,,,0.8352941176470589,False
2e157a65bc,2010 - fishing.pdf,2e157a65bc_R0181,"Fixed format, the response must be one of:",8,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.7857142857142857,False
cf286cdcad,2004 - sprat.pdf,cf286cdcad_R0065,The system will allow analysts and guests to choose a policy and then the system will allow analysts and guests to view the the number of different goals that occur in that policy.,33,medium,False,False,False,,compound_requirement,low,incompleteness; non_testability,incompleteness,,,,,,,,,,0.8166666666666667,False
cd311b5e67,2009 - email.pdf,cd311b5e67_R0021,An in house or externally sourced solution should meet the basic functional requirements specified in this document (or provide ample reasoning why a requirement is not technically or financially feasible).,30,high,True,False,False,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8446601941747572,False
7dfd402cda,2001 - esa.pdf,7dfd402cda_R0101,The specific measurements delivered shall be as follows:,8,high,True,False,False,,trailing_colon,low,incompleteness; non_testability,incompleteness,,,,,,,,,,0.8571428571428571,False
d2fbe92214,2009 - inventory 2.0.pdf,d2fbe92214_R0301,Users should be able to filter acquisitions by:,8,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8297872340425532,False
07adf7522c,1995 - gemini.pdf,07adf7522c_R0401,"Standard interfaces to the control electronics shall be available, in the form of:",13,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8292682926829268,False
3712be5ebe,2007 - eirene fun 7.pdf,3712be5ebe_R0538,Every controller number shall be based on an association of:,10,high,True,False,True,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8333333333333334,False
cc9a62205d,2005 - pontis.pdf,cc9a62205d_R0175,"The system shall have a short-form interface (display only NBI and element data, similar to SI&A sheet) for inspection data entry with specifics of design and functionality to be determined as part of the technical design.",38,high,True,False,False,,to be determined,,incompleteness,incompleteness,,,,,,,,,,0.8153153153153153,False
b3fdf25c0f,2000 - nasa x38.doc,b3fdf25c0f_R0387,"FTSS shall [SRS229] provide the following error handling information as feedback to the ""pipe"" API calls:",16,high,True,False,False,,trailing_colon,low,incompleteness; non_testability,incompleteness,,,,,,,,,,0.780952380952381,False
e5e7157c09,2003 - agentmom.pdf,e5e7157c09_R0083,3.2.6.1 The new built agentMom shall be compatible with the agentMom 1.2 Note:,17,high,True,True,True,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.7051282051282052,False
3af482f591,1999 - multi-mahjong.html,3af482f591_R0060,"When a user creates a new multi player game, they must:",11,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.7818181818181819,False
63762168d3,1998 - themas.pdf,63762168d3_R0224,If T < LO or UO < T then the THEMAS system shall recognize this condition as the temperature limit has been exceeded.,21,high,True,False,False,,<,,incompleteness,incompleteness,,,,,,,,,,0.7863247863247863,False
b0ec2accd9,2009 - peppol.pdf,b0ec2accd9_R1225,An economic operator who has sought an invitation to take part in a restricted or negotiated procedure or a competitive dialogue shall be designated a “candidate”.27 Candidate Statement Any document originating from the candidate intending to demonstrate a quality or fact pertaining to the candidate.,46,high,True,True,True,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8338870431893688,False
aab06bbb66,2003 - qheadache.pdf,aab06bbb66_R0071,3.1.1.2Main window The main window shall provide the following parts :,13,high,True,True,True,,trailing_colon,low,incompleteness,incompleteness,,,,,,,,,,0.7428571428571429,False
266176c3ef,2005 - phin.pdf,266176c3ef_R0191,"2.7.4 Policies and procedures should be in place for determining when follow up and isolation and quarantine monitoring should be done as a part of a focused countermeasure administration and response effort, rather than as a function of contact exposure tracing.",43,high,True,True,True,,compound_requirement,low,incompleteness,incompleteness,,,,,,,,,,0.8212927756653993,False
54e08b6406,2009 - library.doc,54e08b6406_R0075,"All reports and data archiving must comply with standard accounting practice and state, county, and municipal auditing requirements.",18,high,True,False,False,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8484848484848485,False
02085a94bf,2008 - caiso.pdf,02085a94bf_R0022,The following start-up/synchronizing time limits shall apply to the Black Start testing units:,15,high,True,False,False,,trailing_colon,low,incompleteness; non_testability,incompleteness,,,,,,,,,,0.8404255319148937,False
978535a11a,2009 - warc III.pdf,978535a11a_R0100,FR 18 — It shall be possible to perform a round trip validation:,12,high,True,True,True,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.75,False
9889de5526,2002 - evla back.pdf,9889de5526_R0205,"General - Operating system, message passing and other middle-ware, and programming language(s) used shall follow industry standards and be commonly available and widely used.",25,high,True,False,False,,compound_requirement,low,incompleteness; non_testability,incompleteness,,,,,,,,,,0.8275862068965517,False
0f0183a401,2001 - beyond.pdf,0f0183a401_R0103,"The UI interpreter should control the interference between the defined UI and the environmental conditions, such as overruling user-defined UI elements and actions by an “emergency” UI and behavior.",30,high,True,False,False,,compound_requirement,,incompleteness,incompleteness,,,,,,,,,,0.8333333333333334,False
df8ded12c8,2004 - watcom.pdf,df8ded12c8_R0140,ELF handle should be modified as well:,7,high,True,False,False,,trailing_colon,,incompleteness,incompleteness,,,,,,,,,,0.8157894736842105,False
